0,1535660
1,1771
2,560
3,386
4,507
5,507
6,532
7,248
8,725
9,252
10,24439
11,277
12,847
13,553
14,525
15,562
16,563
17,754
18,382
19,790
20,15963
21,781
22,344
23,759
24,533
25,1119
26,930
27,270
28,691
29,286
30,404822
31,256
32,799
33,286
34,879
35,596
36,620
37,821
38,299
39,881
40,17253
41,863
42,336
43,758
44,259
45,896
46,356
47,571
48,809
49,293
50,562198
51,369
52,1002
53,357
54,1225
55,606
56,1474
57,968
58,1193
59,1795
60,31675
61,2135
62,701
63,2193
64,764
65,3293
66,807
67,2721
68,2430
69,938
70,539322
71,969
72,3076
73,865
74,3259
75,4207
76,3538
77,1074
78,3188
79,3019
80,154725
81,4366
82,1431
83,4892
84,1272
85,6926
86,1636
87,4896
88,1472
89,4071
90,1331265
91,2622
92,6058
93,1434
94,4754
95,2205
96,3915
97,905
98,2522
99,680
100,252930
